MEDICATION_NM,ingredient,concept_id
SURGIFLO HEMOSTATIC MATRIX KIT,surgiflo hemostatic matrix kit,
THROMBIN 5000 UNIT EX SOLR,thrombin,1300673
THROMBIN 5000 UNIT EX SOLR,unit ex solr,
DEXTROSE-KCL-NACL 5-0.15-0.9 % IV SOLN,dextrose,
DEXTROSE-KCL-NACL 5-0.15-0.9 % IV SOLN,kcl,
DEXTROSE-KCL-NACL 5-0.15-0.9 % IV SOLN,nacl,
MORPHINE SULFATE 2 MG/ML IJ SOLN,morphine sulfate,1110410
SODIUM CHLORIDE 1 GM OR TABS,sodium chloride,967823
SODIUM CHLORIDE 1 GM OR TABS,gm or tabs,
PROMETHAZINE IVPB (UCI),promethazine ivpb,1153013
SCOPOLAMINE 1 MG/3DAYS TD PT72,scopolamine,965748
SCOPOLAMINE 1 MG/3DAYS TD PT72,td pt,
PLASTIC SURGERY TUMESCENT SOLUTION (OPTIME)(UCI),plastic surgery tumescent solution,
ANTICOAGULANT SODIUM CITRATE 4 GM/100ML VI SOLN,anticoagulant sodium citrate,
ANTICOAGULANT SODIUM CITRATE 4 GM/100ML VI SOLN,vi soln,
CALCIUM CHLORIDE CRRT INFUSION (UCI),calcium chloride crrt infusion,19036781
SODIUM CHLORIDE 0.9% APHERESIS REPLACEMENT FLUID,sodium chloride,967823
SODIUM CHLORIDE 0.9% APHERESIS REPLACEMENT FLUID,apheresis replacement fluid,
ZOLEDRONIC ACID 4 MG/100ML IV SOLN,zoledronic acid,1524674
FLUOROURACIL CHEMO INFUSION (UCI),fluorouracil chemo infusion,955632
BUPIVACAINE HCL 0.5 % IJ SOLN,bupivacaine hcl,732893
BACITRACIN 50000 UNIT IM SOLR,bacitracin,915175
BACITRACIN 50000 UNIT IM SOLR,unit im solr,
METHYLENE BLUE 1 % IJ SOLN,methylene blue,905518
PREGABALIN 50 MG OR CAPS,pregabalin,734354
PREGABALIN 50 MG OR CAPS,mg or caps,
COLESTIPOL HCL 5 GM OR PACK,colestipol hcl,1501617
COLESTIPOL HCL 5 GM OR PACK,gm or pack,
SODIUM CHLORIDE 3 % IV SOLN,sodium chloride,967823
morphine 2 MG/ML injection  - ADS OVERRIDE,morphine,1110410
morphine 2 MG/ML injection  - ADS OVERRIDE,ml injection,
"BACITRACIN 50,000 UNITS IN 1000 ML NS IRRIGATION (OPTIME)",bacitracin,915175
"BACITRACIN 50,000 UNITS IN 1000 ML NS IRRIGATION (OPTIME)",ml ns irrigation,
VITAMIN D3 1000 UNIT OR TABS,unit or tabs,
NACL 0.9% CRRT MACHINE POST-FILTER FLUID,nacl,
NACL 0.9% CRRT MACHINE POST-FILTER FLUID,crrt machine post,
NACL 0.9% CRRT MACHINE POST-FILTER FLUID,filter fluid,
NACL 0.9% CRRT REPLACEMENT FLUID,nacl,
NACL 0.9% CRRT REPLACEMENT FLUID,crrt replacement fluid,
LEVETIRACETAM IVPB 500 MG VIAL TO BAG (UCI),levetiracetam ivpb,711584
LEVETIRACETAM IVPB 500 MG VIAL TO BAG (UCI),mg vial to bag,
PRISMASATE WITH CALCIUM CRRT DIALYSATE WITH ADDITIVES,prismasate with calcium crrt dialysate with additives,
NACL 0.9% CRRT MACHINE PRE-FILTER FLUID,nacl,
NACL 0.9% CRRT MACHINE PRE-FILTER FLUID,crrt machine pre,
NACL 0.9% CRRT MACHINE PRE-FILTER FLUID,filter fluid,
LEVETIRACETAM IN NACL 500 MG/100ML IV SOLN,levetiracetam in nacl,711584
LEVETIRACETAM 100 MG/ML OR SOLN,levetiracetam,711584
LEVETIRACETAM 100 MG/ML OR SOLN,ml or soln,
FUROSEMIDE 20 MG OR TABS,furosemide,956874
ACETAMINOPHEN 160 MG/5ML OR SOLN,acetaminophen,1125315
NEPHRO-VITE 0.8 MG OR TABS,nephro,
NEPHRO-VITE 0.8 MG OR TABS,vite,
DOCUSATE SODIUM 50 MG/5ML OR LIQD,docusate sodium,941258
DOCUSATE SODIUM 50 MG/5ML OR LIQD,or liqd,
CALCIUM GLUCONATE 4 G IVPB APHERESIS MIXTURE (UCI),calcium gluconate,19037038
CALCIUM GLUCONATE 4 G IVPB APHERESIS MIXTURE (UCI),g ivpb apheresis mixture,
ALBUMIN 5% APHERESIS REPLACEMENT FLUID,albumin,
ALBUMIN 5% APHERESIS REPLACEMENT FLUID,apheresis replacement fluid,
METHYLPREDNISOLONE SODIUM SUCC 125 MG IJ SOLR,methylprednisolone sodium succ,1506270
FLUOROURACIL CHEMO INJECTION (UCI),fluorouracil chemo injection,955632
ATROPINE SULFATE 0.4 MG/ML IJ SOLN,atropine sulfate,914335
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN,bupivacaine,732893
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN,epinephrine,1343916
AMITRIPTYLINE HCL 50 MG OR TABS,amitriptyline hcl,710062
MAGNESIUM SULFATE IVPB 1 GM (UCI),magnesium sulfate ivpb,19093848
VANCOMYCIN HCL IN NACL 750-0.9 MG/150ML-% IV SOLN,vancomycin hcl in nacl,1707687
POVIDONE-IODINE 10 % EX SOLN,povidone,950056
POVIDONE-IODINE 10 % EX SOLN,iodine,1780601
POVIDONE-IODINE 10 % EX SOLN,ex soln,
BACITRACIN 500 UNIT/GM EX OINT,bacitracin,915175
BACITRACIN 500 UNIT/GM EX OINT,unit,
BACITRACIN 500 UNIT/GM EX OINT,gm ex oint,
CEPHALEXIN 500 MG OR CAPS,cephalexin,1786621
CEPHALEXIN 500 MG OR CAPS,mg or caps,
METHYLPREDNISOLONE ACETATE 40 MG/ML IJ SUSP,methylprednisolone acetate,1506270
METHYLPREDNISOLONE ACETATE 40 MG/ML IJ SUSP,ml ij susp,
METHADONE HCL 5 MG OR TABS,methadone hcl,1103640
ZINC OXIDE 40 % EX PSTE (UCI),zinc oxide,911064
ZINC OXIDE 40 % EX PSTE (UCI),ex pste,
INFLUENZA VAC SPLIT QUAD 0.5 ML IM SUSY,influenza vac split quad,
INFLUENZA VAC SPLIT QUAD 0.5 ML IM SUSY,ml im susy,
CALCIUM CARBONATE ANTACID 500 MG OR CHEW,calcium carbonate antacid,19035704
DENOSUMAB 120 MG/1.7ML SC SOLN,denosumab,40222444
IMMUNE GLOBULIN (GAMUNEX) IVPB 10% (UCI),immune globulin,
IMMUNE GLOBULIN (GAMUNEX) IVPB 10% (UCI),ivpb,
GENTAMICIN IN SALINE 1.2-0.9 MG/ML-% IV SOLN,gentamicin in saline,45892419
GENTAMICIN IN SALINE 1.6-0.9 MG/ML-% IV SOLN,gentamicin in saline,45892419
HYDROcodone-acetaminophen (NORCO) 5-325 MG tablet  - ADS OVERRIDE,hydrocodone,1174888
HYDROcodone-acetaminophen (NORCO) 5-325 MG tablet  - ADS OVERRIDE,acetaminophen,1125315
HYDROcodone-acetaminophen (NORCO) 5-325 MG tablet  - ADS OVERRIDE,mg tablet,
"GENTAMICIN 80 MG IN 1,000 ML NS IRRIGATION (OPTIME)",gentamicin,45892419
"GENTAMICIN 80 MG IN 1,000 ML NS IRRIGATION (OPTIME)",ml ns irrigation,
LIDOCAINE HCL 2 % EX GEL (UROJET) (UCI),lidocaine hcl,989878
BUPIVACAINE 0.5% PF INFUSION 500 ML - ON-Q PUMP (UCI),bupivacaine,732893
BUPIVACAINE 0.5% PF INFUSION 500 ML - ON-Q PUMP (UCI),pf infusion,
BUPIVACAINE 0.5% PF INFUSION 500 ML - ON-Q PUMP (UCI),on,
BUPIVACAINE 0.5% PF INFUSION 500 ML - ON-Q PUMP (UCI),q pump,
CELECOXIB 100 MG OR CAPS,celecoxib,1118084
CELECOXIB 100 MG OR CAPS,mg or caps,
AZELASTINE-FLUTICASONE 137-50 MCG/ACT NA SUSP,azelastine,934075
AZELASTINE-FLUTICASONE 137-50 MCG/ACT NA SUSP,fluticasone,1149380
AZELASTINE-FLUTICASONE 137-50 MCG/ACT NA SUSP,act na susp,
TAB-A-VITE/BETA CAROTENE PO TABS,tab,
TAB-A-VITE/BETA CAROTENE PO TABS,a,
TAB-A-VITE/BETA CAROTENE PO TABS,vite,
TAB-A-VITE/BETA CAROTENE PO TABS,beta carotene po tabs,19037223
CLINDAMYCIN IVPB 900 MG (UCI),clindamycin ivpb,997881
MENTHOL 3.3 MG MT LOZG,menthol,901656
MENTHOL 3.3 MG MT LOZG,mg mt lozg,
LOSARTAN POTASSIUM 50 MG OR TABS,losartan potassium,1367500
HYDROCHLOROTHIAZIDE 12.5 MG OR TABS,hydrochlorothiazide,974166
GUAIFENESIN 100 MG/5ML OR SOLN,guaifenesin,1163944
AMOXICILLIN-POT CLAVULANATE 875-125 MG OR TABS,amoxicillin,1713332
AMOXICILLIN-POT CLAVULANATE 875-125 MG OR TABS,pot clavulanate,
"BACITRACIN 150,000 UNITS IN 3000 ML NS IRRIGATION (OPTIME)",bacitracin,915175
"BACITRACIN 150,000 UNITS IN 3000 ML NS IRRIGATION (OPTIME)",ml ns irrigation,
VANCOMYCIN HCL 1 GM IV SOLR,vancomycin hcl,1707687
VANCOMYCIN HCL 1 GM IV SOLR,gm iv solr,
MELOXICAM 7.5 MG OR TABS,meloxicam,1150345
VANCOMYCIN IVPB (VARIABLE DOSES IN 300 ML) (UCI),vancomycin ivpb,1707687
CLINDAMYCIN IVPB 600 MG (UCI),clindamycin ivpb,997881
LEVOTHYROXINE SODIUM 25 MCG OR TABS,levothyroxine sodium,1501700
BOLUS IV FLUID - D5W OR NS,bolus iv fluid,
BOLUS IV FLUID - D5W OR NS,or ns,
FLEET ENEMA 7-19 GM/118ML RE ENEM,fleet enema,
FLEET ENEMA 7-19 GM/118ML RE ENEM,re enem,
HYDROXYZINE HCL 10 MG OR TABS,hydroxyzine hcl,777221
MINERAL OIL LIGHT OIL,mineral oil light oil,908523
TESTOSTERONE CYPIONATE 100 MG/ML IM SOLN,testosterone cypionate,1636780
TESTOSTERONE CYPIONATE 100 MG/ML IM SOLN,ml im soln,
TRIAMCINOLONE AND BUPIVICAINE PF 0.25% INJECTION (OPTIME),triamcinolone and bupivicaine pf,903963
TRIAMCINOLONE AND BUPIVICAINE PF 0.25% INJECTION (OPTIME),injection,
METOPROLOL SUCCINATE 25 MG OR TB24,metoprolol succinate,1307046
METOPROLOL SUCCINATE 25 MG OR TB24,mg or tb,
PROCHLORPERAZINE EDISYLATE 5 MG/ML IJ SOLN,prochlorperazine edisylate,752061
GENTAMICIN > 100 MG IVPB (UCI),gentamicin,45892419
GENTAMICIN > 100 MG IVPB (UCI),mg ivpb,
GENTAMICIN IN SALINE 1-0.9 MG/ML-% IV SOLN,gentamicin in saline,45892419
CLINDAMYCIN IVPB IN NS,clindamycin ivpb in ns,997881
ondansetron (ZOFRAN) 4 MG/2ML injection  - ADS OVERRIDE,ondansetron,1000560
ondansetron (ZOFRAN) 4 MG/2ML injection  - ADS OVERRIDE,injection,
GABAPENTIN 250 MG/5ML OR SOLN,gabapentin,797399
NALOXONE HCL 0.4 MG/ML IJ SOLN,naloxone hcl,1114220
DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,dexamethasone sodium phosphate,1518254
CALCIUM GLUCONATE 3 G IVPB (UCI),calcium gluconate,19037038
CALCIUM GLUCONATE 3 G IVPB (UCI),g ivpb,
K PHOS DI & MONO-SOD PHOS MONO 155-852-130 MG OR TABS,k phos di,
K PHOS DI & MONO-SOD PHOS MONO 155-852-130 MG OR TABS,mono,
K PHOS DI & MONO-SOD PHOS MONO 155-852-130 MG OR TABS,sod phos mono,
ALTEPLASE 1 MG IJ SOLR (UCI),alteplase,1347450
CALCIUM GLUCONATE 1 G IVPB (UCI),calcium gluconate,19037038
CALCIUM GLUCONATE 1 G IVPB (UCI),g ivpb,
acetaZOLAMIDE (DIAMOX) 500 MG injection  - ADS OVERRIDE,acetazolamide,929435
acetaZOLAMIDE (DIAMOX) 500 MG injection  - ADS OVERRIDE,mg injection,
BUMETANIDE 0.25 MG/ML IJ SOLN,bumetanide,932745
POTASSIUM CHLORIDE IVPB 40 MEQ (UCI) CENTRAL LINE,potassium chloride ivpb,19049105
POTASSIUM CHLORIDE IVPB 40 MEQ (UCI) CENTRAL LINE,central line,
LIDOCAINE VISCOUS 2 % MT SOLN,lidocaine viscous,989878
LIDOCAINE VISCOUS 2 % MT SOLN,mt soln,
HYDRALAZINE HCL 10 MG OR TABS,hydralazine hcl,1373928
POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,potassium chloride,19049105
CHLOROTHIAZIDE SODIUM 500 MG IV SOLR,chlorothiazide sodium,992590
CHLOROTHIAZIDE SODIUM 500 MG IV SOLR,mg iv solr,
BUMETANIDE 12.5 MG IN 100 ML NS INFUSION (UCI),bumetanide,932745
BUMETANIDE 12.5 MG IN 100 ML NS INFUSION (UCI),ml ns infusion,
METOLAZONE 5 MG OR TABS,metolazone,907013
CARVEDILOL 3.125 MG OR TABS,carvedilol,1346823
BUMETANIDE 25 MG IN 100 ML NS INFUSION (UCI),bumetanide,932745
BUMETANIDE 25 MG IN 100 ML NS INFUSION (UCI),ml ns infusion,
PREDNISONE 5 MG OR TABS,prednisone,1551099
MEROPENEM IV 500 MG (UCI),meropenem iv,1709170
TACROLIMUS 1 MG OR CAPS,tacrolimus,950637
TACROLIMUS 1 MG OR CAPS,mg or caps,
SODIUM BICARBONATE 325 MG OR TABS,sodium bicarbonate,939506
VALSARTAN 40 MG OR TABS,valsartan,1308842
DEXTROSE-KCL-NACL 5-0.15-0.45 % IV SOLN,dextrose,
DEXTROSE-KCL-NACL 5-0.15-0.45 % IV SOLN,kcl,
DEXTROSE-KCL-NACL 5-0.15-0.45 % IV SOLN,nacl,
INDIUM IN 111 OXYQUINOLINE 1 MCI/ML IV SOLN,indium in,43012200
INDIUM IN 111 OXYQUINOLINE 1 MCI/ML IV SOLN,oxyquinoline,906874
INDIUM IN 111 OXYQUINOLINE 1 MCI/ML IV SOLN,mci,36856087
INDIUM IN 111 OXYQUINOLINE 1 MCI/ML IV SOLN,ml iv soln,
METRONIDAZOLE 500 MG OR TABS,metronidazole,1707164
PRAVASTATIN SODIUM 20 MG OR TABS,pravastatin sodium,1551860
ASPIRIN 325 MG OR TABS,aspirin,1112807
FLUTICASONE-SALMETEROL 100-50 MCG/DOSE IN MISC,fluticasone,1149380
FLUTICASONE-SALMETEROL 100-50 MCG/DOSE IN MISC,salmeterol,1137529
FLUTICASONE-SALMETEROL 100-50 MCG/DOSE IN MISC,dose in misc,
BACITRACIN 500 UNIT/GM OINT - 1 GM (UCI),bacitracin,915175
BACITRACIN 500 UNIT/GM OINT - 1 GM (UCI),unit,
BACITRACIN 500 UNIT/GM OINT - 1 GM (UCI),gm oint,
LEVOTHYROXINE IV SYRINGE 20 MCG/ML,levothyroxine iv syringe,1501700
MAGNESIUM CHLORIDE 64 MG PO TBEC,magnesium chloride,19092849
MAGNESIUM CHLORIDE 64 MG PO TBEC,mg po tbec,
EPINEPHRINE PF 1 MG/ML IJ SOLN,epinephrine pf,1343916
METHYLENE BLUE 50 MG/10ML IV SOLN,methylene blue,905518
METHYLPREDNISOLONE IVPB 500 MG (UCI),methylprednisolone ivpb,1506270
MYCOPHENOLATE SODIUM 360 MG OR TBEC,mycophenolate sodium,19068900
CLOTRIMAZOLE 10 MG MT TROC,clotrimazole,1000632
CLOTRIMAZOLE 10 MG MT TROC,mg mt troc,
FUROSEMIDE IN D5W INFUSION (VARIABLE CONCENTRATION) (UCI),furosemide in d,956874
FUROSEMIDE IN D5W INFUSION (VARIABLE CONCENTRATION) (UCI),infusion,
PREDNISONE 10 MG OR TABS,prednisone,1551099
SERTRALINE HCL 50 MG OR TABS,sertraline hcl,739138
ANTITHYMOCYTE GLOBULIN (RABBIT) IVPB (UCI),antithymocyte globulin,
ANTITHYMOCYTE GLOBULIN (RABBIT) IVPB (UCI),ivpb,
CLONIDINE HCL 0.1 MG OR TABS,clonidine hcl,1398937
LORAZEPAM 2 MG/ML IJ SOLN,lorazepam,791967
RISPERIDONE 1 MG OR TABS,risperidone,735979
"HEPARIN 10,000 UNITS IN 1,000 ML NS SOLUTION (OPTIME)",heparin,1367571
"HEPARIN 10,000 UNITS IN 1,000 ML NS SOLUTION (OPTIME)",ml ns solution,
DIAZEPAM 2 MG OR TABS,diazepam,723013
LAMOTRIGINE 200 MG OR TABS,lamotrigine,705103
ALLOPURINOL 100 MG OR TABS,allopurinol,1167322
BUPROPION HCL 75 MG OR TABS,bupropion hcl,750982
CALCIUM CARBONATE-VITAMIN D 250-125 MG-UNIT OR TABS,mg,
CALCIUM CARBONATE-VITAMIN D 250-125 MG-UNIT OR TABS,unit or tabs,
OMEGA-3 FISH OIL 1000 MG PO CAPS,omega,
OMEGA-3 FISH OIL 1000 MG PO CAPS,fish oil,36444867
OMEGA-3 FISH OIL 1000 MG PO CAPS,mg po caps,
ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML OR SUSP,alum,
ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML OR SUSP,mag hydroxide,
ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML OR SUSP,simeth,
ALUM & MAG HYDROXIDE-SIMETH 400-400-40 MG/5ML OR SUSP,or susp,
MYCOPHENOLATE MOFETIL 200 MG/ML OR SUSR,mycophenolate mofetil,19003999
MYCOPHENOLATE MOFETIL 200 MG/ML OR SUSR,ml or susr,
LACTULOSE 10 GM/15ML OR SOLN,lactulose,987245
BOLUS IV FLUID,bolus iv fluid,
QUETIAPINE FUMARATE 25 MG OR TABS,quetiapine fumarate,766814
HALOPERIDOL 1 MG OR TABS,haloperidol,766529
MORPHINE SULFATE ER 15 MG PO TBCR,morphine sulfate er,1110410
MORPHINE SULFATE ER 15 MG PO TBCR,mg po tbcr,
RIFAXIMIN 550 MG PO TABS,rifaximin,1735947
ALBUMIN HUMAN 25 % IV SOLN,albumin human,
LIDOCAINE HCL (PF) 1 % IJ SOLN,lidocaine hcl,989878
fentaNYL 100 MCG/2ML injection  - ADS OVERRIDE,fentanyl,1154029
fentaNYL 100 MCG/2ML injection  - ADS OVERRIDE,injection,
DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN,desmopressin acetate,1517070
HALOPERIDOL LACTATE 5 MG/ML IJ SOLN,haloperidol lactate,766529
POTASSIUM PHOSPHATES IVPB <= 40 MEQ (UCI),potassium phosphates ivpb,19049024
METRONIDAZOLE IN NACL 500-0.79 MG/100ML-% IV SOLN,metronidazole in nacl,1707164
propofol (DIPRIVAN) 1000 MG/100ML infusion  - ADS OVERRIDE,propofol,753626
propofol (DIPRIVAN) 1000 MG/100ML infusion  - ADS OVERRIDE,infusion,
BENAZEPRIL HCL 5 MG OR TABS,benazepril hcl,1335471
METOCLOPRAMIDE HCL 5 MG OR TABS,metoclopramide hcl,906780
NOREPINEPHRINE 4 MG/250 ML NS INFUSION (UCI),norepinephrine,1321341
NOREPINEPHRINE 4 MG/250 ML NS INFUSION (UCI),ml ns infusion,
norepinephrine (LEVOPHED) 4 mg in 250 mL NS 0.016 MG/ML EMERGENCY infusion  - ADS OVERRIDE,norepinephrine,1321341
norepinephrine (LEVOPHED) 4 mg in 250 mL NS 0.016 MG/ML EMERGENCY infusion  - ADS OVERRIDE,ml ns,
norepinephrine (LEVOPHED) 4 mg in 250 mL NS 0.016 MG/ML EMERGENCY infusion  - ADS OVERRIDE,ml emergency infusion,
MIDAZOLAM 100 MG/100 ML PREMIX INFUSION (UCI),midazolam,708298
MIDAZOLAM 100 MG/100 ML PREMIX INFUSION (UCI),ml premix infusion,
MIDAZOLAM DOSE FROM BAG (UCI),midazolam dose from bag,708298
DOXYCYCLINE HYCLATE 100 MG OR CAPS,doxycycline hyclate,1738521
DOXYCYCLINE HYCLATE 100 MG OR CAPS,mg or caps,
BISACODYL EC 5 MG OR TBEC,bisacodyl ec,924939
DIGOXIN 0.125 MG OR TABS,digoxin,1326303
TRAZODONE HCL 100 MG OR TABS,trazodone hcl,703547
CLONIDINE HCL (ANALGESIA) 100 MCG/ML EP SOLN,clonidine hcl,1398937
CLONIDINE HCL (ANALGESIA) 100 MCG/ML EP SOLN,ml ep soln,
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN,bupivacaine,732893
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN,epinephrine,1343916
SURGIFOAM GELATIN POWDER KIT 1G,surgifoam gelatin powder kit,
FLUTICASONE PROPIONATE  HFA 110 MCG/ACT IN AERO,fluticasone propionate,1149380
FLUTICASONE PROPIONATE  HFA 110 MCG/ACT IN AERO,hfa,
FLUTICASONE PROPIONATE  HFA 110 MCG/ACT IN AERO,act in aero,
LATANOPROST 0.005 % OP SOLN,latanoprost,954688
LATANOPROST 0.005 % OP SOLN,op soln,
OXYMETAZOLINE HCL 0.05 % NA SOLN,oxymetazoline hcl,925636
OXYMETAZOLINE HCL 0.05 % NA SOLN,na soln,
TRANEXAMIC ACID 1000 MG/10ML IV SOLN,tranexamic acid,1303425
LIOTHYRONINE SODIUM 25 MCG OR TABS,liothyronine sodium,1505346
LOSARTAN POTASSIUM-HCTZ 100-12.5 MG OR TABS,losartan potassium,1367500
LOSARTAN POTASSIUM-HCTZ 100-12.5 MG OR TABS,hctz,
BSS IO SOLN,bss io soln,
TALC 4 GM PL AERP,talc,1036667
TALC 4 GM PL AERP,gm pl aerp,
GABAPENTIN 600 MG OR TABS,gabapentin,797399
BUPIVACAINE HCL 0.25 % IJ SOLN,bupivacaine hcl,732893
VASOPRESSIN 20 UNIT/ML IV SOLN,vasopressin,
VASOPRESSIN 20 UNIT/ML IV SOLN,unit,
VASOPRESSIN 20 UNIT/ML IV SOLN,ml iv soln,
METOPROLOL TARTRATE 50 MG OR TABS,metoprolol tartrate,1307046
SPIRONOLACTONE 12.5 MG OR TABS (HALF TABLET),spironolactone,970250
"BUPIVACAINE 0.25% AND LIDOCAINE 1%-EPI 1:100,000 (OPTIME)",bupivacaine,732893
"BUPIVACAINE 0.25% AND LIDOCAINE 1%-EPI 1:100,000 (OPTIME)",and lidocaine,
"BUPIVACAINE 0.25% AND LIDOCAINE 1%-EPI 1:100,000 (OPTIME)",epi,
DEXAMETHASONE 4 MG OR TABS,dexamethasone,1518254
PENICILLIN G POTASSIUM IVPB <= 5 MILLION UNITS (UCI),penicillin g potassium ivpb,1728416
PENICILLIN G POTASSIUM IVPB <= 5 MILLION UNITS (UCI),million units,
AMANTADINE HCL 50 MG/5ML OR SYRP,amantadine hcl,19087090
AMANTADINE HCL 50 MG/5ML OR SYRP,or syrp,
FERROUS SULFATE 300 (60 FE) MG/5ML OR SYRP,ferrous sulfate,1396131
FERROUS SULFATE 300 (60 FE) MG/5ML OR SYRP,or syrp,
SUCRALFATE 1 GM/10ML OR SUSP,sucralfate,1036228
SUCRALFATE 1 GM/10ML OR SUSP,or susp,
BROMOCRIPTINE MESYLATE 5 MG OR CAPS,bromocriptine mesylate,730548
BROMOCRIPTINE MESYLATE 5 MG OR CAPS,mg or caps,
PROPRANOLOL HCL 20 MG/5ML OR SOLN,propranolol hcl,1353766
LANSOPRAZOLE 3 MG/ML OR SUSP (COMPOUNDED),lansoprazole,929887
LANSOPRAZOLE 3 MG/ML OR SUSP (COMPOUNDED),ml or susp,
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 500 ML) IVPB (UCI),sulfamethoxazole,1836430
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 500 ML) IVPB (UCI),trimethoprim,1705674
SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 500 ML) IVPB (UCI),ivpb,
CALCIUM GLUCONATE 10 % IV SOLN,calcium gluconate,19037038
AMIODARONE 540 MG/250 ML D5W MAINTENANCE INFUSION FOR CENTRAL LINE (UCI),amiodarone,1309944
AMIODARONE 540 MG/250 ML D5W MAINTENANCE INFUSION FOR CENTRAL LINE (UCI),ml d,
AMIODARONE 540 MG/250 ML D5W MAINTENANCE INFUSION FOR CENTRAL LINE (UCI),maintenance infusion for central line,
MEROPENEM-VABORBACTAM IVPB (UCI),meropenem,1709170
MEROPENEM-VABORBACTAM IVPB (UCI),vaborbactam ivpb,792531
ERYTHROMYCIN BASE 250 MG OR TABS,erythromycin base,1746940
carvedilol (COREG) 3.125 MG tablet  - ADS OVERRIDE,carvedilol,1346823
carvedilol (COREG) 3.125 MG tablet  - ADS OVERRIDE,mg tablet,
PHENYLEPHRINE 250 ML ADULT INFUSION (VARIABLE CONCENTRATION) (UCI),phenylephrine,1135766
PHENYLEPHRINE 250 ML ADULT INFUSION (VARIABLE CONCENTRATION) (UCI),ml adult infusion,
HYDROCORTISONE 1 % EX OINT,hydrocortisone,975125
HYDROCORTISONE 1 % EX OINT,ex oint,
MILRINONE 50 MG/250 ML NS INFUSION (UCI),milrinone,1368671
MILRINONE 50 MG/250 ML NS INFUSION (UCI),ml ns infusion,
PAROXETINE HCL 20 MG OR TABS,paroxetine hcl,722031
VANCOMYCIN IVPB (VARIABLE DOSES IN 250 ML),vancomycin ivpb,1707687
AZTREONAM IV PUSH 2 GM IN SWFI 10 ML,aztreonam iv push,1715117
EPINEPHRINE 16 MG/250 ML INFUSION - CENTRAL LINE ONLY (UCI),epinephrine,1343916
EPINEPHRINE 16 MG/250 ML INFUSION - CENTRAL LINE ONLY (UCI),central line only,
FAMOTIDINE IN NACL 20 MG/50ML IV SOLN,famotidine in nacl,953076
"HEPARIN 25,000 UNITS/250 ML 1/2 NS ECMO/VAD (UCI)",heparin,1367571
"HEPARIN 25,000 UNITS/250 ML 1/2 NS ECMO/VAD (UCI)",units,
"HEPARIN 25,000 UNITS/250 ML 1/2 NS ECMO/VAD (UCI)",ns ecmo,
"HEPARIN 25,000 UNITS/250 ML 1/2 NS ECMO/VAD (UCI)",vad,
LIDOCAINE 1 G/250 ML NS INFUSION (UCI),lidocaine,989878
LIDOCAINE 1 G/250 ML NS INFUSION (UCI),ml ns infusion,
BOTULINUM TOXIN TYPE A 100 UNIT IM SOLR,botulinum toxin type a,
BOTULINUM TOXIN TYPE A 100 UNIT IM SOLR,unit im solr,
METHADONE HCL 10 MG/ML IJ SOLN (UCI),methadone hcl,1103640
ESTRADIOL 0.025 MG/24HR TD PTTW,estradiol,1548195
ESTRADIOL 0.025 MG/24HR TD PTTW,td pttw,
METHOCARBAMOL IVPB,methocarbamol ivpb,704943
METHADONE HCL 10 MG/5ML OR SOLN,methadone hcl,1103640
FAT EMULSION 20 % IV EMUL,fat emulsion,
METOCLOPRAMIDE HCL 10 MG/10ML OR SOLN,metoclopramide hcl,906780
LOPERAMIDE HCL 2 MG OR CAPS,loperamide hcl,991876
LOPERAMIDE HCL 2 MG OR CAPS,mg or caps,
METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN,metronidazole in nacl,1707164
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),hydromorphone,1126658
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),ml premix pca infusion,
HYDROMORPHONE 0.5 MG/ML PREMIX PCA INFUSION - TOLERANT (UCI),tolerant,
FLUTICASONE PROPIONATE 50 MCG/ACT NA SUSP,fluticasone propionate,1149380
FLUTICASONE PROPIONATE 50 MCG/ACT NA SUSP,act na susp,
AMITRIPTYLINE HCL 25 MG OR TABS,amitriptyline hcl,710062
RIVAROXABAN 20 MG PO TABS,rivaroxaban,40241331
NAFCILLIN IVPB 2 GM (UCI),nafcillin ivpb,1713930
POTASSIUM CHLORIDE CR 10 MEQ OR TBCR,potassium chloride cr,19049105
ALPRAZOLAM 1 MG OR TABS,alprazolam,781039
